date,high,low,close,sma_fast,sma_slow,rsi,return_1,return_2,return_5,return_10,volatility_5,volatility_10,sma_ratio,price_vs_sma_fast,sma_fast_slope,sma_slow_slope,rsi_change_3,range_pct,breakout_20,rebound_10,atr_14,ml_proba,position,buy_signal,sell_signal,market_return,strategy_return,equity,buy_hold_equity,drawdown
2020-01-02,28.713333129882812,28.11400032043457,28.68400001525879,,,,,,,,,,,,,,,0.020894324680289362,,,,,0,False,False,0.0,0.0,10000.0,10000.0,0.0
2020-01-03,30.266666412353516,29.128000259399414,29.534000396728516,,,,0.02963325829792085,,,,,,,,,,,0.03855441652530863,,,,,0,False,False,0.02963325829792085,0.0,10000.0,10296.332582979208,0.0
2020-01-06,30.104000091552734,29.333332061767578,30.1026668548584,,,,0.01925463704513497,0.049458472976047,,,,,,,,,,0.025601320756761286,,,,,0,False,False,0.01925463704513497,0.0,10000.0,10494.58472976047,0.0
2020-01-07,31.441999435424805,30.224000930786133,31.270666122436523,,,,0.03880052465815398,0.05880225172274245,,,,,,,,,,0.038950193765292546,,,,,0,False,False,0.03880052465815398,0.0,10000.0,10901.780123344626,0.0
2020-01-08,33.232666015625,31.215333938598633,32.80933380126953,30.48013343811035,,,0.04920482578812169,0.08991452350256779,,,,,,0.07641700020403785,,,,0.061486529694434335,,,,,0,False,False,0.04920482578812169,0.0,10000.0,11438.200315094207,0.0
2020-01-09,33.253334045410156,31.524667739868164,32.089332580566406,31.161199951171874,,,-0.021945011900097344,0.026180013400561863,0.1187188873063767,,0.027451916563890386,,,0.02978488090474274,,,,0.05387043501767588,,,,,0,False,False,-0.021945011900097344,-0.0,10000.0,11187.188873063767,0.0
2020-01-10,32.3293342590332,31.579999923706055,31.876667022705078,31.629733276367187,,,-0.006627297633174267,-0.028426873407846,0.07932100611185944,,0.02993530996604443,,,0.007807013235941351,,,,0.023507298764748944,,,,,0,False,False,-0.006627297633174267,-0.0,10000.0,11113.04804272344,0.0
2020-01-13,35.04199981689453,32.79999923706055,34.990665435791016,32.60733299255371,,,0.09768895885093332,0.0904142474119789,0.16237759280599162,,0.04758615432879901,,,0.07309191597428621,0.06978970609700963,,,0.06407424814335488,,,,,0,False,False,0.09768895885093332,0.0,10000.0,12198.670135677494,0.0
2020-01-14,36.49399948120117,34.99333190917969,35.861331939697266,33.52546615600586,,,0.024882822120200876,0.1250025579573295,0.14680422218338895,,0.04745369551283859,,,0.06967437150081057,0.07587211688056561,,,0.04184639807982973,,,,,0,False,False,0.024882822120200876,0.0,10000.0,12502.207474766565,0.0
2020-01-15,35.85599899291992,34.452667236328125,34.56666564941406,33.876932525634764,32.17853298187256,,-0.03610201351305786,-0.01211751137328343,0.05356194852321372,,0.05319944640718806,,0.05278051503214831,0.02035996391519146,0.07104705024327918,,,0.04059783407589342,,0.20508526115694892,,,0,False,False,-0.03610201351305786,-0.0,10000.0,12050.85261156949,0.0
2020-01-16,34.297332763671875,32.81133270263672,34.232666015625,34.305599212646484,32.73339958190918,,-0.009662477636014799,-0.045415656250887504,0.06679270843908469,0.19344115177152887,0.05152155176477272,0.03920421125851134,0.048030441409031344,-0.0021259852238522114,0.05208234051158356,,,0.043408832381237654,,0.15909343657410369,,,0,False,False,-0.009662477636014799,-0.0,10000.0,11934.411517715289,0.0
2020-01-17,34.37799835205078,33.54399871826172,34.03333282470703,34.736932373046876,33.18333282470703,,-0.005822894156913949,-0.015429108208360631,0.0676565652383232,0.15234415817495917,0.0514420926445012,0.03968708265844325,0.04681867118492389,-0.020255085877582624,0.03613570088492235,,,0.024505376481483102,,0.13057534034444673,,,0,False,False,-0.005822894156913949,-0.0,10000.0,11864.918702622577,0.0
2020-01-21,36.571998596191406,35.227333068847656,36.47999954223633,35.03479919433594,33.82106609344483,,0.07189030619278935,0.06564880239200677,0.04256375487280417,0.21185274773582607,0.041260288526213953,0.04361496497757802,0.03588689657320865,0.04125042475294194,0.034178616019175045,,,0.03686034934805589,,0.16658850180559903,,,0,False,False,0.07189030619278935,0.0,10000.0,12717.891341106668,0.0
2020-01-22,39.633331298828125,37.27333450317383,37.97066879272461,35.45666656494141,34.49106636047363,,0.04086264444061727,0.1156905786540896,0.05881925569787283,0.21425839296339366,0.04335998013414807,0.043717273135185995,0.027995661090210344,0.07090351325550093,0.033553337609989686,,,0.06215315322827512,,0.19117437107458257,0.04354111611922536,,0,False,False,0.04086264444061727,0.0,10000.0,13237.578013012717,0.0
2020-01-23,38.79999923706055,37.040000915527344,38.14666748046875,36.17266693115234,35.02479972839355,81.57590742586716,0.004635122144013071,0.04568716993273991,0.10356804059044,0.16267729517240892,0.03503531671508562,0.04271906184350746,0.03277298404730766,0.054571606596592215,0.04133164502515152,0.08845234641754529,,0.046137669101352814,,0.1966956097793311,0.045513542679770015,,0,False,False,0.004635122144013071,0.0,10000.0,13298.935803993932,0.0
2020-01-24,38.25733184814453,36.95066833496094,37.654666900634766,36.8570671081543,35.58133316040039,77.76106525672918,-0.012897603180825445,-0.008322263002920605,0.09996302605960761,0.17343253575298023,0.035751406853461364,0.04191484461640265,0.035854023288079295,0.02164034892250033,0.052013082869701854,0.08700390472321051,,0.034701236811673045,,0.1812611046761614,0.04558466793199638,,0,False,False,-0.012897603180825445,-0.0,10000.0,13127.411407266747,0.0
